Cbench started.
Measure Mode: wall_time
Thread ID: 11802960
Fiber ID: 14782220
Total: 59.631248
Sort by: self_time

 %self      total      self      wait     child     calls  name
  0.00      0.012     0.002     0.000     0.010      780   Bundler::SpecSet#lookup
  0.00      0.035     0.002     0.000     0.033      317   BinData::DSLMixin::DSLParser#dsl_params
  0.00      0.005     0.002     0.000     0.002      217   BinData::DSLMixin::DSLParser#set_endian
  0.00      0.022     0.002     0.000     0.020      135   Array#select
  0.00      0.002     0.002     0.000     0.000     2304   Fixnum#^
  0.00      0.010     0.002     0.000     0.008      237   BinData::DSLMixin::DSLBigAndLittleEndianHandler#obj_attribute
  0.00      0.007     0.002     0.000     0.005      928   Kernel#!~
  0.00      0.010     0.002     0.000     0.008      214   ActiveSupport::Inflector#constantize
  0.00      0.002     0.002     0.000     0.000     1891   Kernel#respond_to_missing?
  0.00      0.009     0.002     0.000     0.007      379   BinData::AcceptedParametersPlugin#mutually_exclusive_parameters
  0.00      0.002     0.002     0.000     0.000     1560   Array#<<
  0.00      0.002     0.002     0.000     0.000     1300   Hash#length
  0.00      0.015     0.002     0.000     0.014      293   BinData::StructArgProcessor#sanitize_parameters!
  0.00      0.013     0.002     0.000     0.011       75   Module#parents
  0.00      0.002     0.002     0.000     0.000      617   Array#last
  0.00      0.040     0.002     0.000     0.038      329  *<Module::TSort>#each_strongly_connected_component_from
  0.00      0.013     0.002     0.000     0.011      237   BinData::DSLMixin::DSLBigAndLittleEndianHandler#subclass_of_big_and_little_endian?
  0.00      0.028     0.002     0.000     0.026      204   Bundler::LockfileParser#parse_source
  0.00      0.019     0.002     0.000     0.017      361   BinData::Registry#register_dynamic_class
  0.00      0.068     0.002     0.000     0.066      368  *Array#map!
  0.00      0.002     0.002     0.000     0.000      688   BasicObject#singleton_method_added
  0.00      0.002     0.002     0.000     0.001      581   URI::Generic#userinfo
  0.00      0.017     0.002     0.000     0.015      259  *BinData::DSLMixin::DSLParser#hide
  0.00      0.017     0.002     0.000     0.016      612   Bundler::DepProxy#hash
  0.00      0.016     0.002     0.000     0.015       86   Bundler::Index#search_by_dependency
  0.00      0.027     0.002     0.000     0.026      128   Gem::Dependency#to_lock
  0.00      0.002     0.002     0.000     0.000       95   <Class::Dir>#[]
  0.00      0.005     0.002     0.000     0.003      434   Bundler::RemoteSpecification#method_missing
  0.00      0.002     0.002     0.000     0.000      567   String#=~
  0.00      0.006     0.002     0.000     0.005      361   Bundler::RemoteSpecification#full_name
  0.00      0.002     0.002     0.000     0.000      299   Array#compact
  0.00      0.011     0.001     0.000     0.010      231   <Class::Gem::Requirement>#create
  0.00      0.001     0.001     0.000     0.000     1754   Module#==
  0.00      0.019     0.001     0.000     0.017      207   Gem::Dependency#==
  0.00      0.005     0.001     0.000     0.004      266   <Class::BinData::Base>#register_subclasses
  0.00      0.001     0.001     0.000     0.000      335   Array#pop
  0.00      0.008     0.001     0.000     0.007       19   Enumerable#any?
  0.00      0.027     0.001     0.000     0.026      335   Gem::Requirement#==
